did,genre,prob
34906,Drama,0.5
72184,Crime,3.5842293900000002E-3
87158,Documentary,0.66666666666600005
6187,Drama,1
45135,Comedy,1
25989,Family,1.8181818180999999E-2
24811,Action,1
83205,Adventure,0.5
67538,Drama,1
18327,Crime,0.0625
21562,Documentary,1
58806,Short,0.33333333333300003
30661,Drama,1
37913,Short,1
63625,Drama,0.45714285714199998
73522,Comedy,1
83280,Short,1
63602,Musical,0.5
62976,Adventure,0.33333333333300003
46645,Drama,1
17810,Fantasy,0.166666666666
33668,Short,1
28155,Comedy,0.625
21839,Drama,0.80000000000000004
37581,Short,1
17926,Drama,0.5
11507,Comedy,0.181818181818
29423,Short,1
53623,Horror,0.28125
59048,Drama,1
20933,Short,1
46313,Drama,0.5
36861,Animation,1
36386,Thriller,7.6923076923000003E-2
6930,Comedy,1
16580,Adult,1
83522,Drama,0.33333333333300003
70510,Action,0.28571428571399998
67788,Western,0.66666666666600005
38874,Documentary,0.20000000000000001
5341,Comedy,1
44708,Documentary,0.5
68624,Short,1
44474,Sci-Fi,1
40463,Documentary,1
83672,Comedy,1
73387,Adventure,1
31244,War,0.5
81917,Documentary,1
15989,Documentary,1
9470,Animation,1
36510,Adventure,9.0909090908999998E-2
15889,Fantasy,0.33333333333300003
5009,Comedy,0.166666666666
63184,Thriller,0.59999999999999998
66210,Drama,1
60134,Short,0.83333333333299997
53198,Documentary,0.40000000000000002
20234,Documentary,1
74189,Romance,1
77964,Adventure,0.166666666666
24329,Family,0.25
62447,Comedy,1
80363,Short,1
8123,Adventure,0.111111111111
41072,Drama,1
38909,Short,0.166666666666
67354,Horror,1
48953,Action,1
11744,Action,0.33333333333300003
71541,Short,1
58864,Horror,1
41222,Comedy,0.27083333333300003
36218,Action,0.33333333333300003
36827,Drama,0.0625
14893,Fantasy,0.20000000000000001
15728,Documentary,0.20000000000000001
48692,Documentary,0.5
60194,Comedy,1
79102,Mystery,0.166666666666
42660,Music,0.33333333333300003
5343,Thriller,1
56850,Documentary,0.09375
19420,Family,0.5
87174,Drama,0.76470588235199999
52897,Adventure,8.6956521738999995E-2
19973,Documentary,1
72265,Comedy,0.5
86663,Romance,1
64964,Sci-Fi,0.5
43546,Comedy,0.33333333333300003
76711,Short,1
3268,Crime,0.33333333333300003
33317,Drama,0.33333333333300003
64344,Action,0.88888888888799999
2293,Short,0.166666666666
35257,Short,1
38415,Music,2.8368794326000001E-2
86842,Drama,1
76178,Comedy,0.15789473684200001
16020,Adventure,9.0909090908999998E-2
41475,Drama,0.5
56701,Musical,0.5
39502,Short,1
6862,Sci-Fi,4.5454545454000003E-2
50801,Adult,1
39963,Horror,1
55486,Short,1
23652,Romance,0.5
27410,Crime,0.5
39317,Family,0.20000000000000001
8234,Documentary,1
86565,Documentary,1
81933,Drama,1
16005,Drama,0.91666666666600005
68347,Fantasy,1
15728,Action,0.02
34205,Animation,1
59198,Comedy,1
3602,Drama,0.5
57846,Documentary,1
56850,Action,0.46875
19070,Horror,1
